;Latitude;Longitude;Weight
0;40.655692874000074;-73.89940857299997;5
5;40.609419006000046;-73.92969179199997;2
6;40.707934228000056;-73.92893143599997;2
7;40.67458330800008;-73.93022154099998;5
10;40.579207868000026;-73.98194058799999;2
18;40.70629036500002;-73.95035033099998;5
20;40.59644571900003;-73.93678114299998;5
22;40.70341366900004;-73.96474295699994;2
29;40.66654015100005;-73.87932514799998;5
34;40.64287410500003;-74.01264925299995;5
40;40.62369081100008;-74.02799154099996;2
43;40.582620261000045;-73.98629580399995;2
49;40.67800516700004;-74.00414749699995;2
52;40.66151554700008;-73.910576957;5
54;40.67141166300007;-73.88151172399995;2
56;40.64886713300007;-73.95082189999994;5
59;40.70412392100008;-73.91586850599998;5
60;40.688154120000036;-73.94685537799995;5
62;40.631257160000075;-73.94599639799998;2
68;40.61544337400005;-73.92894705999998;1
72;40.65617956900008;-73.95160940799997;2
77;40.69994609100007;-73.91180930699994;2
82;40.67119007600007;-73.90952938099997;2
83;40.681967344000036;-73.98236705399995;2
85;40.64983796100006;-74.00908286999999;2
89;40.679421114000036;-73.90543336199994;5
90;40.70713063900007;-73.96661294199998;2
96;40.689027417000034;-73.98615855199995;2
98;40.69833089400004;-73.91749507299994;2
113;40.65815775400005;-74.00044115499998;5
114;40.67877374900007;-73.94966417599994;5
118;40.641516660000036;-73.93944811899995;2
123;40.688743368000075;-73.94498708099997;5
132;40.672756840000034;-73.93771099699995;5
137;40.63068215900006;-73.97355396999995;5
138;40.68428204500003;-73.98934328299998;5
141;40.69842248100008;-73.98399638699995;5
157;40.67599616800004;-73.87697189499994;5
163;40.59406298000005;-73.96086869299995;5
165;40.57311032400003;-74.00142327999998;5
167;40.693199483000065;-73.97136913099996;2
174;40.67111083400005;-73.91356336299998;5
176;40.70215069300008;-73.91253491799995;5
180;40.662325758000065;-73.88908632899995;5
188;40.674080408000066;-73.92923067799995;2
191;40.67141166300007;-73.88151172399995;5
196;40.69471530800007;-73.97439044799995;5
201;40.63068215900006;-73.97355396999995;5
202;40.609900125000024;-73.92237286099999;2
204;40.59414516900005;-73.96041495199995;2
208;40.605965010000034;-74.01159786199997;2
209;40.663341242000065;-73.96017924999995;5
211;40.621576504000075;-73.93575592499997;2
214;40.69762375700003;-73.93638948699999;2
215;40.65925783100005;-73.98843179999993;2
222;40.65584955600008;-73.95011395999995;2
224;40.64702003900004;-73.95812413299996;5
234;40.68703414200007;-73.98202677399995;5
235;40.697517533000045;-73.92415334699997;2
240;40.661794060000034;-73.90872392799997;5
243;40.619736590000045;-73.95744964299999;5
245;40.62024009100002;-74.01647043999998;5
248;40.57758741600002;-73.97633607099993;2
252;40.61916143800004;-74.02984471499997;5
256;40.66391159900007;-73.93992881599996;5
257;40.670320318000044;-73.90651690599998;5
258;40.59406298000005;-73.96086869299995;5
263;40.688743368000075;-73.94498708099997;5
269;40.67459999000005;-73.93057482199998;5
272;40.678265974000055;-74.00222950599994;2
275;40.65170090400005;-73.86844675099995;2
276;40.69086637500004;-73.98584805699994;2
277;40.57634302400004;-73.98742382199998;2
280;40.633436264000075;-73.96710736999995;5
282;40.59406298000005;-73.96086869299995;5
287;40.65015385800007;-74.00507553499993;1
296;40.652624210000056;-73.93340512099995;2
303;40.632673848000024;-73.93127414899999;2
306;40.68377856600006;-73.92624217899998;5
307;40.64870676900005;-73.90513094099998;2
308;40.62851560000007;-73.94138369799998;5
312;40.67111083400005;-73.91356336299998;5
313;40.68993100900008;-73.93792933799993;5
315;40.68454358300004;-73.92938182699999;5
322;40.67141166300007;-73.88151172399995;5
323;40.67003008100005;-73.90404439699995;2
326;40.63711621400005;-73.89337623399997;2
331;40.66739017700007;-73.87094990799993;5
336;40.676775583000044;-73.99972384399997;5
337;40.67141166300007;-73.88151172399995;5
346;40.63526532400005;-73.92744874399993;2
348;40.65671661900007;-74.00536796699998;2
356;40.67141166300007;-73.88151172399995;5
362;40.68406075000007;-73.97745929199993;2
367;40.68703414200007;-73.98202677399995;5
369;40.68446154300005;-73.97775120999995;2
373;40.67877374900007;-73.94966417599994;5
375;40.67665468400003;-73.91646556799998;5
383;40.68962245400007;-73.96014913199997;2
387;40.67597640200007;-73.96302338199997;5
389;40.626780816000064;-73.94687542599996;2
390;40.681331758000056;-73.99412817799998;2
392;40.61586015900008;-73.99014302099994;2
394;40.63068215900006;-73.97355396999995;2
399;40.63624559000005;-73.94850005499995;5
400;40.57556809600004;-73.98093364699997;2
401;40.69438807200004;-73.98719600899994;2
420;40.69224167400005;-73.987300996;2
422;40.669874185000026;-73.88112152899998;2
423;40.67141166300007;-73.88151172399995;5
425;40.698078486000036;-73.94531476999998;2
426;40.67141166300007;-73.88151172399995;5
428;40.624307110000075;-73.91044308599999;2
433;40.66416202000005;-73.94681681999998;2
434;40.675411501000035;-73.87191497999999;2
441;40.70205435900005;-73.91970128999998;5
449;40.652409353000046;-73.95433667599998;2
454;40.57858837600002;-73.98839897099998;5
457;40.67705280300004;-74.00071888099995;2
458;40.67141166300007;-73.88151172399995;5
463;40.64749793200008;-73.92602282499998;5
467;40.67135982000008;-73.88181102299995;2
474;40.64702003900004;-73.95812413299996;2
475;40.62725607000005;-74.01428544099997;5
478;40.67027627800008;-73.86729982099996;2
486;40.709734301000026;-73.94865609199995;5
487;40.66046287300003;-73.91229402299997;5
488;40.68131820000008;-73.95650899099995;2
491;40.707038926000045;-73.96290155499997;2
495;40.67530670000008;-74.00992272799994;2
497;40.657115992000065;-73.90752294299993;2
499;40.669900788000064;-73.95883073299996;5
501;40.676948611000064;-73.97536346499999;2
505;40.60207069800003;-74.00269150899999;5
506;40.57820717200008;-73.96364268599996;5
512;40.64475175100006;-73.95521755899993;2
515;40.67843524600005;-73.92743062299998;2
517;40.599770586000034;-73.99910478099997;2
522;40.64853985600007;-73.94933021999998;2
523;40.57556809600004;-73.98093364699997;5
525;40.65039633400005;-73.95870942899995;2
528;40.70412392100008;-73.91586850599998;5
530;40.57556809600004;-73.98093364699997;5
532;40.69224167400005;-73.987300996;2
533;40.68048278800006;-73.96139845599998;2
534;40.67141166300007;-73.88151172399995;2
536;40.65092883700004;-73.93029673299998;2
538;40.64536148100007;-74.00468599199995;2
545;40.60436487800007;-74.01074047699996;2
547;40.66544594900005;-73.95161349899995;2
556;40.66365041300003;-73.89083230399994;5
557;40.697085925000074;-73.93184246199995;2
561;40.655283490000045;-74.01049278999993;2
564;40.66544594900005;-73.95161349899995;2
565;40.61407287700007;-74.01392603999993;2
571;40.67597640200007;-73.96302338199997;5
574;40.65170090400005;-73.86844675099995;5
577;40.678878851000036;-73.92164721999995;5
579;40.678959457000076;-73.92313972699995;2
580;40.655762174000074;-73.95812585399995;5
583;40.70478562700004;-73.96338250199994;2
584;40.66416202000005;-73.94681681999998;5
587;40.688743368000075;-73.94498708099997;5
594;40.63021824100008;-73.93293391099995;5
599;40.689027417000034;-73.98615855199995;2
600;40.62523836700007;-73.91887869199995;2
601;40.66416202000005;-73.94681681999998;2
608;40.67558382800007;-73.98903463099998;5
618;40.69543880800006;-73.98322537599995;5
619;40.68168446300007;-73.91834853099994;5
620;40.673188407000055;-73.92931453899995;2
624;40.64591936100004;-73.95807437399995;2
625;40.60505849900005;-74.01737782899994;5
627;40.63686750900007;-73.89158591899997;2
630;40.66559971500004;-73.88850054499993;2
632;40.65414154500007;-74.01168552599995;2
634;40.641474095000035;-74.01410471799994;5
646;40.60207069800003;-74.00269150899999;5
648;40.671037471000034;-73.93091017899997;5
657;40.68651471700008;-73.87495131099996;2
663;40.64333985400003;-73.95972995199999;5
666;40.700511239000036;-73.94154039399997;1
668;40.67628642200003;-73.90863559499998;5
670;40.676337363000066;-73.86546353999995;2
671;40.68964821100008;-73.92405412199997;5
673;40.68636981000003;-73.91459284799998;5
675;40.66350055800007;-73.92687375799993;2
678;40.69833089400004;-73.91749507299994;2
680;40.68217055300004;-73.96059705899995;2
681;40.64254948100006;-74.01816952099993;2
684;40.57758741600002;-73.97633607099993;5
688;40.680373415000076;-73.89275905399995;2
690;40.671932606000034;-73.90451750999993;5
691;40.667580877000034;-73.93402101099997;5
698;40.68187203100007;-73.98827284299993;2
701;40.61670298200004;-74.00759795799998;2
702;40.71008565700004;-73.948713533;5
704;40.67141166300007;-73.88151172399995;5
705;40.68213040500007;-74.00730615999998;2
706;40.67859550700007;-73.90613035499997;5
708;40.59644571900003;-73.93678114299998;2
710;40.68112594000007;-73.97436682299997;5
711;40.67128900700004;-73.88234827899998;5
724;40.57900355900005;-73.96490942599996;2
726;40.693471325000075;-73.98724306499997;5
736;40.69514090800004;-73.975125947;2
741;40.68039860900007;-73.94955839299999;2
747;40.68733562500006;-73.87515529999997;5
748;40.63068215900006;-73.97355396999995;2
750;40.648650085000035;-73.95033556299995;2
752;40.67459999000005;-73.93057482199998;2
757;40.65799306600008;-74.00069344599996;5
769;40.67066627200006;-73.95797590799998;2
786;40.57556809600004;-73.98093364699997;5
797;40.68914146700007;-73.95131865399995;5
799;40.70903067600005;-73.94091974299994;2
813;40.63696033300005;-74.02248084499998;2
814;40.68928980600003;-73.92168907599995;5
818;40.68739746400007;-73.91241724999998;2
832;40.629532280000035;-74.00500911699999;5
836;40.679569085000026;-73.94820340899997;5
837;40.684194302000044;-73.91608474599997;2
840;40.68103118200002;-73.87046562099994;5
842;40.69833089400004;-73.91749507299994;2
845;40.68366651900004;-73.90787912999998;2
852;40.65754158800007;-73.89796772499993;2
854;40.70629036500002;-73.95035033099998;5
856;40.69831250200008;-73.95314759599995;2
857;40.69833089400004;-73.91749507299994;5
863;40.60207069800003;-74.00269150899999;5
864;40.64192587100007;-73.95152966099994;2
868;40.67789986700007;-73.98428252099995;2
878;40.68547507700004;-73.93105747599995;5
881;40.690106415000045;-73.98897094299997;5
883;40.66815523100007;-73.95205491599995;2
884;40.70657345600006;-73.93965593099993;5
889;40.694380900000056;-73.97651820399994;2
