;ZIP CODE;GROSS SQUARE FEET;SALE PRICE;PRICE PER GSQ
0;11201;3613.5333333333333;6529603.066666666;1902.470606409915
1;11203;1763.6652173913044;615036.2782608696;366.5870644122615
2;11204;2059.0945945945946;1172005.6486486488;615.6019792806877
3;11205;2947.439024390244;2079976.024390244;743.5972382962968
4;11206;2761.061224489796;1780432.530612245;653.2580471181317
5;11207;2168.2301255230127;708273.4979079498;349.8805861426474
6;11208;1933.5746268656717;633930.1791044776;346.1257382016131
7;11209;2202.9108280254777;1177034.0573248407;565.3050644578835
8;11210;1986.79012345679;915116.1358024691;463.1712548568691
9;11211;2586.911111111111;1973502.711111111;869.289657521625
10;11212;2073.878504672897;539300.4392523364;287.7128397124701
11;11213;2527.032608695652;1369856.1304347827;527.6257042952823
12;11214;2226.348484848485;1056331.75;504.11761357163334
13;11215;2375.2735849056603;2236023.6981132077;985.0189647832834
14;11216;2905.403846153846;1406897.8173076923;507.910044673174
15;11217;3209.7884615384614;2933810.576923077;962.1118751783905
16;11218;2183.5966386554624;1384896.5882352942;686.3338565713249
17;11219;2940.6576576576576;1385802.2252252253;509.31902102907634
18;11220;2345.723404255319;1230782.7765957448;545.2800552336041
19;11221;2663.375;1300527.0543478262;495.0452806708044
20;11222;2470.0652173913045;1807921.4130434783;776.288107807636
21;11223;2065.2694300518133;1207087.8341968912;622.0088870063656
22;11224;1858.7446808510638;654585.1063829787;366.6217281134281
23;11225;2299.637931034483;1217564.051724138;579.7318551882066
24;11226;2450.467889908257;1130350.2385321101;486.68647248119055
25;11228;2011.2032085561498;1128328.8128342247;590.9313975771788
26;11229;1732.076923076923;846319.113360324;517.5530301774377
27;11230;2420.2442748091603;1539130.9541984734;645.2388150573954
28;11231;2520.0862068965516;2487043.396551724;1042.3766846885767
29;11232;2055.7241379310344;1139043.8275862068;609.3642912860862
30;11233;2551.1479591836733;927554.443877551;383.57418963611906
31;11234;1804.6880530973451;721691.0862831859;429.1696947890843
32;11235;2072.492307692308;982234.9692307692;496.3987420857572
33;11236;1886.5283582089553;592895.4656716418;344.4252044333655
34;11237;2644.222222222222;1051814.7777777778;420.11865453898935
35;11238;2668.048387096774;2197677.2580645164;968.9972811294543
36;11239;2091.346153846154;621910.4230769231;302.6654700182238
37;11249;2685.9;3749080.0;1423.539047549238
