;ZIP CODE;GROSS SQUARE FEET;SALE PRICE;PRICE PER GSQ
0;11201;3390.25;7172003.833333333;2223.469918211742
1;11203;1753.0697674418604;617118.623255814;367.874394620315
2;11204;2043.7823129251701;1155987.3197278911;608.3513313106857
3;11205;2842.7948717948716;1894212.4871794872;703.6024109331564
4;11206;2760.3260869565215;1845439.0;677.7387766779012
5;11207;2176.3931623931626;715385.1367521368;356.43172014555745
6;11208;1943.9310344827586;641793.6896551724;348.65243787494603
7;11209;2192.1523178807947;1212121.5033112583;579.7191381928224
8;11210;1990.4567901234568;911577.1790123457;459.3889486153662
9;11211;2571.62;1946502.44;844.5578983492967
10;11212;2023.4242424242425;533538.2727272727;292.6515634857563
11;11213;2546.0333333333333;1394926.2666666666;534.9577718851683
12;11214;2287.375939849624;1082045.932330827;497.11901725730394
13;11215;2353.6355140186915;2294116.9345794395;1019.4383616023655
14;11216;2965.521739130435;1464953.847826087;518.899682927076
15;11217;3157.2075471698113;2891190.6415094337;958.3714035946027
16;11218;2173.9024390243903;1356248.7398373983;664.4023303215619
17;11219;2936.0;1386872.1965811965;512.1531409830019
18;11220;2366.777777777778;1219975.5656565656;534.0498922895795
19;11221;2666.830508474576;1303838.163841808;492.73089084865825
20;11222;2442.9268292682927;1774009.3902439023;776.1731309075634
21;11223;2086.4842105263156;1218399.1684210526;620.181333193887
22;11224;1819.6888888888889;651264.8666666667;374.1715428251838
23;11225;2348.0;1279245.0;589.7025758769773
24;11226;2452.6176470588234;1148409.4607843137;492.24557808788813
25;11228;1983.8967391304348;1118374.9347826086;592.7936729613276
26;11229;1739.7314049586778;866434.632231405;530.8060602027535
27;11230;2419.3555555555554;1592408.0592592594;665.1531493518357
28;11231;2507.285714285714;2447861.910714286;1039.4446453889227
29;11232;2027.357142857143;1135616.8214285714;620.2899923937367
30;11233;2527.60621761658;951446.2694300518;397.15931625429045
31;11234;1808.0228310502282;719266.1917808219;427.73436982679425
32;11235;2044.3389830508474;1031005.4915254237;528.3994502281427
33;11236;1890.7612903225806;603267.1612903225;351.0906041883405
34;11237;2537.5454545454545;1063909.0606060605;478.01109306054224
35;11238;2695.957746478873;3687492.8169014086;1504.3696879576016
36;11239;2059.03125;616927.59375;304.98221289739774
37;11249;2737.5555555555557;3965644.4444444445;1468.2020931771765
